Obs_ID,Core_color,Date,Core ID,Bag check,Time,1,2,3,4,5,Ticks on outside of bag,Live spider,spider.seen.dead,Spider status,Spider on outside of bag,juveniles_observed
1,,7/31,30,,15:45,,1,,2,,0,0,,,,
2,,7/31,31,,15:30,,4,,5,,0,1,,,,
3,,7/31,32,,15:45,,1,,4,,0,0,,,,
4,,7/31,33,,,,0,,1,,0,0,,,,
5,,7/31,34,,,,3,,3,,0,0,,,,
6,,7/31,35,,,,0,,1,,0,0,,,,
7,,7/31,36,,,,2,,2,,0,0,,,,
8,,7/31,37,,,,1,,1,,0,0,,,,
9,,7/31,38,,,,0,,0,,0,0,,,,
10,,7/31,39,,,,5,,6,,0,0,,,,
11,,7/31,40,,,,2,,4,,1,0,,,,
12,,7/31,41,,,,3,,4,,0,0,,,,
13,,7/31,42,,,,0,,0,,0,1,,,,
14,,7/31,43,,,,0,,1,,0,0,,,,
15,,7/31,44,,,,7,,7,,0,0,,,,
16,,7/31,45,,,,3,,4,,0,0,,,,
17,,7/31,46,,,,0,,0,,1,1,,,,
18,,7/31,47,,,,0,,0,,0,0,,,,
19,,7/31,48,,,,3,,1,,0,0,,,,
20,,7/31,49,,,,0,,0,,0,0,,,,
21,,7/31,1,,,,2,,2,,0,1,,,,
22,,7/31,2,,,,0,,1,,0,0,,,,
23,,7/31,3,,,,6,,3,,0,0,,,,
24,,7/31,4,,,,7,,8,,0,0,,,,
25,,7/31,5,,,,0,,0,,0,0,,,,
26,,7/31,6,,,,2,,1,,0,1,,,,
27,,7/31,7,,,,2,,4,,0,0,,,,
28,,7/31,8,,,,0,,0,,0,0,,,,
29,,7/31,9,,,,2,,2,,1,0,,,,
30,,7/31,10,,,,1,,1,,0,0,,,,
31,,7/31,11,,,,1,,3,,0,0,,,,
32,,7/31,12,,,,1,,2,,1,0,,,,
33,,7/31,13,,,,0,,0,,0,0,,,,
34,,7/31,14,,,,0,,1,,0,0,,,,
35,,7/31,15,,,,4,,3,,0,0,,,,
36,,7/31,16,,,,0,,0,,0,0,,,,
37,,7/31,17,,,,4,,5,,0,0,,,,
38,,7/31,18,,,,2,,1,,0,0,,,,
39,,7/31,19,,,,0,,0,,0,0,,,,
40,,7/31,20,,,,2,,2,,0,1,,,,
41,,7/31,21,,,,5,,5,,0,0,,,,
42,,7/31,22,,,,1,,1,,1,0,,,,
43,,7/31,23,,,,2,,3,,0,0,,,,
44,,7/31,24,,,,3,,6,,0,0,,,,
45,,7/31,25,,,,4,,5,,0,0,,,,
46,,7/31,26,,,,0,,4,,0,0,,,,
47,,7/31,27,,,,1,,4,,0,1,,,,
48,,7/31,28,,,,1,,2,,0,0,,,,
49,,7/31,29,,,,0,,0,,0,0,,,,
50,,7/31,94,,,,0,,0,,0,0,,,,
51,,7/31,95,,,,1,,2,,0,1,,,,
52,,7/31,96,,,,0,,0,,1,0,,,,
53,,8/1,1,,,,,,,,NA,1,,,,
54,,8/1,6,,,,,,,,NA,1,,,,
55,,8/1,11,,,,,,,,NA,1,,,,
56,,8/1,16,,,,,,,,NA,0,,,,
57,,8/1,20,,,,,,,,NA,0,,,,
58,,8/1,23,,,,,,,,NA,0,,,,
59,,8/1,27,,,,,,,,NA,0,,,,
60,,8/1,31,,,,,,,,NA,0,,,,
61,,8/1,33,,,,,,,,NA,0,,,,
62,,8/1,34,,,,3,,,,0,0,,,,
63,,8/1,35,,,,1,,,,0,0,,,,
64,,8/1,36,,,,1,,,,1,0,,,,
65,,8/1,37,,,,0,,,,0,0,,,,
66,,8/1,38,,,,0,,0,,0,0,,,,
67,,8/1,39,,,,0,,1,,0,0,,,,
68,,8/1,40,,,,3,,4,,0,0,,,,
69,,8/1,41,,,,0,,4,,0,0,,,,
70,,8/1,42,,,,0,,,,0,1,,,,
71,,8/1,43,,,,0,,0,,0,0,,,,
72,,8/1,44,,,,4,,4,,0,0,,,,
73,,8/1,45,,,,,,,,NA,0,,,,
74,,8/1,46,,,,0,,1,,1,1,,,,
75,,8/1,48,,,,3,,4,,0,0,,,,
76,,8/1,49,,,,0,,1,,0,1,,,,
77,,8/1,53,,,,0,,,,0,0,,,,
78,,8/1,54,,,,1,,,,2,0,,,,
79,,8/1,55,,,,1,,,,0,0,,,,
80,,8/1,56,,,,2,,,,0,0,,,,
81,,8/1,57,,,,0,,,,0,0,,,,
82,,8/1,58,,,,0,,,,0,0,,,,
83,,8/1,59,,,,8,,,,0,0,,,,
84,,8/1,60,,,,1,,,,0,1,,,,
85,,8/1,61,,,,0,,,,0,0,,,,
86,,8/1,62,,,,1,,,,0,1,,,,
87,,8/1,63,,,,4,,,,0,0,,,,
88,,8/1,64,,,,0,,,,0,0,,,,
89,,8/1,65,,,,0,,,,0,0,,,,
90,,8/1,66,,,,0,,,,0,0,,,,
91,,8/1,67,,,,4,,,,0,0,,,,
92,,8/1,68,,,,1,,,,1,0,,,,
93,,8/1,69,,,,0,,,,0,0,,,,
94,,8/1,70,,,,1,,,,0,0,,,,
95,,8/1,71,,,,3,,,,0,0,,,,
96,,8/1,72,,,,1,,,,0,0,,,,
97,,8/1,73,,,,2,,,,0,0,,,,
98,,8/1,74,,,,1,,,,0,0,,,,
99,,8/1,75,,,,5,,,,0,0,,,,
100,,8/1,76,,,,1,,,,0,0,,,,
101,,8/1,77,,,,0,,,,0,1,,,,
102,,8/1,78,,,,3,,4,,1,0,,,,
103,,8/1,79,,,,0,,1,,0,0,,,,
104,,8/1,80,,,,6,,4,,0,0,,,,
105,,8/1,81,,,,0,,0,,0,0,,,,
106,,8/1,82,,,,0,,0,,0,0,,,,
107,,8/1,83,,,,1,,1,,0,0,,,,
108,,8/1,84,,,,0,,0,,0,0,,,,
109,,8/1,85,,,,4,,5,,0,0,,,,
110,,8/1,86,,,,5,,3,,0,0,,,,
111,,8/1,87,,,,0,,0,,0,0,,,,
112,,8/1,88,,,,0,,,,0,0,,,,
113,,8/1,89,,,,2,,1,,0,0,,,,
114,,8/1,90,,,,1,,1,,0,0,,,,
115,,8/1,91,,,,0,,,,0,0,,,,
116,,8/1,92,,,,0,,,,0,0,,,,
117,,8/1,94,,,,0,,0,,0,0,,,,
118,,8/1,95,,,,0,,3,,0,0,,,,
119,,8/1,98,,,,5,,4,,0,0,,,,
120,,7/28,1,,,,3,,3,,0,1,,,,
121,,7/28,2,,,,2,,3,,0,0,,,,
122,,7/28,3,,,,3,,4,,0,0,,,,
123,,7/28,4,,,,7,,,,0,0,,,,
124,,7/28,5,,,,0,,2,,0,0,,,,
125,,7/28,6,,,,2,,,,0,1,,,,
126,,7/28,8,,,,2,,,,0,0,,,,
127,,7/28,9,,,,1,,3,,1,0,,,,
128,,7/28,10,,,,1,,,,0,0,,,,
129,,7/28,11,,,,7,,,,0,1,,,,
130,,7/28,12,,,,5,,,,1,0,,,,
131,,7/28,13,,,,3,,,,0,0,,,,
132,,7/28,14,,,,2,,3,,0,0,,,,
133,,7/28,15,,,,5,,4,,0,0,,,,
134,,7/28,16,,,,1,,,,0,0,,,,
135,,7/28,17,,,,5,,9,,0,0,,,,
136,,7/28,18,,,,5,,6,,0,0,,,,
137,,7/28,19,,,,0,,1,,0,0,,,,
138,,7/28,20,,,,2,,,,0,0,,,,
139,,7/28,21,,,,3,,,,0,0,,,,
140,,7/28,22,,,,2,,,,0,0,1,,,
141,,7/28,27,,,,,,,,,0,,,,
142,,7/28,31,,,,,,,,,1,,,,
143,,7/28,33,,,,,,,,,0,,,,
144,,7/28,39,,,,,,,,,1,,,,
145,,7/28,44,,,,,,,,,1,,,,
146,,7/28,45,,,,,,,,,0,,,,
147,,7/28,49,,,,,,,,,1,,,,
148,,7/28,55,,,,6,,,,,0,,,,
149,,7/28,57,,,,,,,,,1,,,,
150,,7/28,64,,,,,,,,,1,,,,
151,,7/28,67,,,,7,,,,,0,,,,
152,,7/28,69,,,,,,,,,0,,,,
153,,7/28,73,,,,,,,,,0,,,,
154,,7/28,77,,,,,,,,,1,,,,
155,,8/2,1,,21:00,,,,,,,1,,e,,
156,,8/3,1,,12:30,0,0,0,0,,0,1,,e,,
157,,8/3,2,,14:00,0,0,0,0,,1,1,,ne,,
158,,8/3,3,,14:00,1,1,1,0,,0,0,,,,
159,,8/3,4,,14:00,4,3,4,3,,0,0,,0,ne,
160,,8/3,5,,14:00,5,6,5,3,,0,0,,,,
161,,8/2,6,,21:00,NA,NA,NA,NA,,0,1,,e,,
162,,8/3,6,,14:00,2,1,2,1,,0,1,,e,,
163,,8/3,7,,14:15,2,3,3,3,,0,0,,,,
164,,8/3,8,,14:15,2,2,1,2,,0,0,,,,
165,,8/3,9,,14:15,1,1,1,2,,0,0,,,,
166,,8/3,10,,14:30,1,3,4,1,,0,0,,,,
167,,8/2,11,,21:00,NA,NA,NA,NA,,0,0,,,,
168,,8/3,11,,21:00,3,4,2,1,,0,1,,e,,
169,,8/3,12,,13:30,2,0,1,0,,0,0,,,,
170,,8/3,13,,13:30,0,2,2,1,,0,0,,,,
171,,8/3,14,,13:30,0,0,1,1,,0,0,,,,
172,,8/3,15,,13:30,3,3,3,4,,0,0,,,,
173,,8/3,16,,13:30,0,0,2,2,,0,0,,,,
174,,8/2,16,,21:00,NA,NA,NA,NA,,NA,0,,,,
175,,8/3,17,,13:45,1,2,1,1,,0,0,,,,
176,,8/3,18,,13:45,1,1,2,3,,0,0,,,,
177,,8/3,19,,13:45,0,0,0,0,,0,1,,ne,,
178,,8/2,20,,21:00,NA,NA,NA,NA,,,0,,,,
179,,8/3,20,,14:00,2,2,5,5,,0,0,,,,
180,,8/3,21,,14:00,3,5,3,4,,0,0,,,ne,
181,,8/3,22,,14:00,3,3,3,4,,0,0,,dead,,
182,,8/2,23,,21:00,NA,NA,NA,NA,,NA,0,,,,
183,,8/3,23,,14:00,4,4,4,3,,0,0,,,,
184,,8/3,24,,14:00,1,1,2,1,,0,0,,,,
185,,8/3,25,,14:00,1,3,1,2,,0,0,,,,
186,,8/3,26,,14:00,1,2,3,5,,0,0,,,,
187,,8/2,27,,21:00,NA,NA,NA,NA,,NA,1,,s,,
188,,8/3,27,,14:00,6,4,2,7,,0,1,,s,,
189,,8/4,28,,10:30,4,6,3,6,,0,0,,,,
190,,8/4,29,,10:35,7,7,4,7,,0,1,,e,,
191,,8/3,30,,14:15,0,0,1,1,,0,0,,,,
192,,8/4,30,,10:30,1,3,2,2,,0,0,,,,
193,,8/2,31,,21:00,NA,NA,NA,NA,NA,NA,1,,e,,
194,,8/4,31,,12:15,0,0,2,2,,0,1,,e,,
195,,8/4,32,,12:15,0,2,4,2,,1,0,,,,
196,,8/2,33,,21:00,NA,NA,NA,NA,NA,NA,1,,e,,
197,,8/4,34,,12:30,1,3,3,1,,0,0,,,,
198,,8/4,35,,12:30,0,0,0,0,,0,0,,,,
199,,8/4,36,,12:30,0,1,1,1,,2,0,,,,
200,,8/4,37,,12:30,0,0,1,1,,0,0,,,,
201,,8/3,38,,16:30,0,0,1,1,,0,0,,,,
202,,8/2,39,,21:00,NA,NA,NA,NA,,NA,1,,e,,
203,,8/3,39,,16:00,4,6,5,5,,0,1,,e,,
204,,8/3,40,,16:00,3,3,1,2,,1,0,,,,
205,,8/4,41,,13:00,5,5,4,4,,0,0,,,,
206,,8/4,42,,13:15,0,0,0,0,,0,0,,,,
207,,8/4,43,,13:15,0,0,0,0,,0,0,,,,
208,,8/2,44,,21:00,NA,NA,NA,NA,,0,1,,e,,
209,,8/4,45,,10:45,8,8,4,4,,0,0,,,,
210,,8/2,45,,21:00,NA,NA,NA,NA,,0,0,,,,
211,,8/4,46,,13:00,0,0,0,0,,0,1,,ne,,
212,,8/4,47,,13:15,0,0,0,0,,0,NA,,,,
213,,8/4,48,,13:30,3,2,3,3,,0,0,,,,
214,,8/2,49,,21:00,NA,NA,NA,NA,NA,NA,1,,e,,
215,,8/4,49,,13:00,0,1,1,1,,0,1,,e,,
216,,8/4,50,,14:00,0,2,1,2,,0,1,,s,,
217,,8/4,51,,13:30,1,1,0,1,,0,NA,,,,
218,,8/4,52,,13:30,3,3,3,5,,0,0,,,,
219,,8/4,53,,14:00,0,1,1,1,,0,1,,e,,
220,,8/4,54,,14:00,7,7,8,5,,0,0,,,,
221,,8/4,55,,14:05,6,5,5,6,,0,0,,,,
222,,8/2,56,,21:00,NA,NA,NA,NA,,,0,,,,
223,,8/4,56,,14:15,2,3,1,2,,0,0,,,,
224,,8/2,57,,21:00,NA,NA,NA,NA,,NA,0,,,,
225,,8/4,57,,14:15,0,0,0,0,,0,0,,,,
226,,8/4,58,,14:20,3,4,5,6,,0,1,,e,,
227,,8/4,59,,15:10,4,5,5,7,,0,0,,,,
228,,8/4,60,,15:00,1,2,1,2,,1,1,,s,,
229,,8/4,62,,15:00,1,1,1,1,,0,1,,e,,
230,,8/4,61,,15:00,1,2,2,2,,0,0,,,,
231,,8/4,63,,15:15,0,0,2,3,,0,0,,,,
232,,8/2,64,,21:00,NA,NA,NA,NA,,0,0,,,,
233,,8/4,64,,15:00,0,0,0,1,,0,1,,ne,,
234,,8/4,65,,15:30,1,1,1,1,,0,0,,,,
235,,8/4,66,,15:30,0,0,0,0,,0,0,,,,
236,,8/2,67,,21:00,NA,NA,NA,NA,,NA,1,,e,,
237,,8/4,67,,15:30,0,2,1,5,,0,1,,e,,
238,,8/4,68,,15:30,3,3,2,3,,0,0,,,,
239,,8/4,69,,15:30,2,2,4,4,,0,0,,,,
240,,8/2,69,,21:00,NA,NA,NA,NA,NA,NA,0,,,,
241,,8/4,70,,15:45,1,1,1,1,,,0,,,,
242,,8/4,71,,15:45,4,5,5,6,,,0,,,,
243,,8/4,72,,16:00,1,1,1,0,,,0,,,,
244,,8/2,73,,21:00,NA,NA,NA,NA,NA,NA,0,,,,
245,,8/4,73,,16:00,0,0,0,0,,0,1,,ne,,
246,,8/4,74,,16:00,2,2,3,3,,0,0,,,,
247,,8/4,75,,16:00,1,1,4,2,,,0,,,,
248,,8/4,76,,16:15,1,4,5,4,,0,0,,,,
249,,8/2,77,,21:00,NA,NA,NA,NA,NA,NA,1,,ne,,
250,,8/4,77,,16:30,0,0,0,1,,,1,,ne,,
251,,8/4,78,,16:30,3,3,2,2,,,0,,,,
252,,8/4,79,,16:30,0,0,1,1,,,0,,,,
253,,8/4,80,,16:30,3,3,5,5,,,0,,,,
254,,8/4,81,,16:30,3,4,4,4,,,0,,,,
255,,8/4,82,,18:00,2,1,5,5,,0,0,,,,
256,,8/4,83,,18:00,1,2,3,3,,0,0,,,,
257,,8/4,84,,18:00,2,2,3,3,,0,0,,,,
258,,8/4,85,,18:00,3,2,3,3,,0,0,,dead,,
259,,8/4,86,,18:00,3,5,4,5,,0,NA,,,,
260,,8/4,87,,18:00,2,2,2,2,,0,0,,,,
261,,8/4,88,,16:00,0,0,1,1,,1,0,,,,
262,,8/4,89,,18:00,2,3,4,3,,0,0,,,,
263,,8/4,90,,18:00,3,3,3,1,,0,0,,,,
264,,8/4,91,,13:45,3,3,3,3,,0,0,,separate eggs,,
265,,8/4,92,,16:00,0,2,2,2,,1,0,,,,
266,,8/4,93,,18:00,2,2,3,1,,0,0,,,,
267,,8/4,94,,18:00,2,3,3,3,,0,0,,,,
268,,8/4,95,,12:45,3,3,5,4,,1,0,,,,
269,,8/4,98,,18:00,1,2,1,3,,0,0,,,,
270,,8/18,72,,11:05,0,0,0,0,,NA,0,,,,
271,,8/18,74,,11:00,0,1,1,1,,NA,0,,,,
272,,8/18,76,,11:10,0,0,0,1,,NA,0,,,,
273,,8/18,78,,11:12,2,1,1,0,,NA,0,,,,
274,,8/18,79,,11:20,1,1,2,2,,NA,0,,,,
275,,8/18,82,,11:25,0,0,0,0,,0,0,,,,
276,,8/18,83,,11:35,0,0,0,0,,0,0,,,,
277,,8/18,42,,10:55,0,0,0,0,,0,1,,e,,
278,,8/18,98,,11:20,2,1,1,2,,0,0,,,,
279,,8/13,17,,12:15,2,3,4,3,,0,0,,,,
280,,8/13,49,,12:20,0,2,2,2,,0,1,,e,,
281,,8/13,52,,12:30,8,7,9,5,,0,0,,,,
282,,8/13,54,,12:35,3,3,6,6,,0,0,,,,
283,,8/13,56,,12:40,4,5,3,4,,0,0,,,,
284,,8/13,57,,12:48,0,0,0,0,,0,0,,,,
285,,8/13,63,,12:55,3,4,2,3,,0,0,,,,
286,,8/13,73,,13:00,0,0,0,0,,0,1,,ne,,
287,,8/7,1,,17:00,0,0,0,0,,0,1,,e,,
288,,8/9,1,,12:00,2,2,2,3,,0,1,,spiderlings,,
289,,8/7,2,,17:00,0,0,0,0,,0,0,,,,
290,,8/7,3,,17:00,0,0,0,0,,0,0,,,,
291,,8/9,3,,12:30,1,4,5,2,,0,0,,,,
292,,8/7,4,,17:00,1,4,4,4,,0,0,,,,
293,,8/7,5,,17:30,4,4,4,4,,0,0,,,,
294,,8/8,6,,18:10,1,3,4,4,,0,1,,spiderlings,,
295,,8/9,6,,12:30,3,4,4,4,,0,1,,spiderlings,,
296,,8/8,7,,18:10,6,2,2,3,,0,0,,,,
297,,8/9,7,,12:30,3,7,4,3,,0,0,,,,
298,,8/9,11,,12:30,3,4,4,8,,0,1,,e,,
299,,8/9,12,,12:30,3,4,6,2,,1,0,,,,
300,,8/15,13,,8:15,4,4,3,3,,0,1,,ne,,
301,,8/15,14,,8:20,2,3,3,3,,0,0,,,,
302,,8/16,18,,10:20,7,8,8,8,,0,0,,,,
303,,8/16,19,,10:10,1,1,1,2,,0,0,,,,
304,,8/16,21,,10:20,2,2,2,4,,0,0,,,,
305,,8/16,22,,10:00,2,1,2,3,,0,0,,,,
306,,8/10,25,,8:45,3,3,2,3,,0,0,,,,
307,,8/10,27,,8:45,5,4,6,6,,0,0,,,,1
308,,8/15,28,,8:30,1,2,2,1,,0,1,,ne,,
309,,8/15,29,,8:35,7,7,6,6,,0,0,,,,
310,,8/15,30,,8:40,0,0,1,1,,0,0,,,,
311,,8/10,31,,8:50,5,6,7,6,,1,1,,spiderlings,,
312,,8/10,32,,8:50,8,6,7,6,,0,0,,,,
313,,8/10,33,,8:00,11,11,10,8,,0,0,,,,
314,,8/10,34,,9:05,5,5,5,5,,0,0,,,,
315,,8/15,35,,8:50,0,0,0,1,,0,0,,,,
316,,8/16,37,,9:55,0,0,0,0,,0,0,,,,
317,,8/15,38,,8:55,1,1,1,2,,0,0,,,,
318,,8/16,43,,9:15,0,0,0,0,,0,0,,,,
319,,8/15,51,,9:00,0,0,0,0,,0,0,,,,
320,,8/16,50,,10:10,0,0,0,0,,0,1,,ne,,
321,,8/16,53,,9:20,2,2,2,2,,0,1,,ne,,
322,,8/15,58,,9:05,4,3,2,3,,0,0,,,,
323,,8/15,59,,9:15,10,10,11,10,,0,0,,,,
324,,8/15,60,,9:20,1,1,1,1,,0,0,,,,5
325,,8/15,61,,9:25,3,4,4,2,,0,0,,,,
326,,8/15,62,,9:30,1,1,2,2,,0,1,,spiderlings,,
327,,8/15,65,,9:35,2,2,2,2,,0,1,,ne,,2
328,,8/16,70,,9:30,4,6,5,3,,0,0,,,,
329,,8/17,36,,14:30,0,0,0,1,,0,0,,,,
330,,8/17,46,,14:30,0,0,0,1,,0,1,,e,,
331,,8/17,47,,14:23,0,0,0,0,,0,0,,,,
332,,8/17,55,,14:20,1,2,4,4,,0,0,,,,
333,,8/17,66,,14:15,0,0,0,0,,0,0,,,,
334,,8/17,68,,14:10,3,6,6,4,,1,0,,,,
335,,8/17,75,,14:05,2,3,3,3,,0,0,,,,
336,,8/17,80,,14:00,4,3,3,3,,0,0,,,,
337,,8/18,85,,17:50,1,2,2,2,,0,0,,,,
338,,8/19,86,,14:25,1,0,1,1,,0,0,,,,
339,,8/19,87,,14:30,0,1,1,1,,0,0,,,,
340,,8/19,88,,14:40,0,0,0,0,,0,1,,ne,,2
341,,8/19,89,,14:35,1,1,1,3,,0,0,,,ne,
342,,8/19,90,,14:20,0,1,1,1,,0,0,,,,
343,,8/19,91,,14:50,2,3,3,3,,0,0,,,,
344,,8/19,92,,14:40,1,1,0,0,,0,0,,,,
345,,8/19,93,,14:50,4,4,4,4,,0,0,,,,
346,,8/19,98,,11:20,2,1,1,2,,0,0,,,,
347,,8/14,16,,14:10,3,3,2,3,,0,0,,,,
348,,8/14,20,,14:05,5,2,1,2,,0,0,,,,
349,,8/14,23,,14:00,5,5,4,4,,0,0,,,,
350,,8/14,24,,13:55,1,7,5,8,,0,0,,,,
351,,8/14,26,,13:45,2,2,2,2,,0,0,,,,
352,,8/14,64,,13:40,0,0,0,0,,0,0,,,,
353,,8/14,67,,13:30,5,3,3,4,,0,1,,spiderlings,,
354,,8/11,2,,8:30,0,0,0,0,,0,0,,,,
355,,8/11,4,,8:35,5,6,4,1,,0,0,,,,
356,,8/11,5,,8:38,5,4,4,4,,0,0,,,,
357,,8/11,8,,8:41,3,3,4,4,,0,0,,,,
358,,8/11,9,,8:44,3,1,2,4,,0,1,,ne,,
359,,8/11,10,,8:48,4,3,3,3,,0,0,,,,
360,,8/11,15,,8:54,4,5,6,5,,0,0,,,,
361,,8/11,39,,8:59,9,7,8,6,,0,0,,,,
362,,8/11,77,,12:30,0,0,0,0,,0,0,,,,
363,,8/11,40,,9:30,1,2,2,3,,0,0,,,,
364,,8/11,41,,9:15,6,6,7,7,,0,0,,,,
365,,8/11,44,,9:15,5,5,7,6,,0,1,,eggs,,
366,,8/11,45,,9:10,4,6,7,5,,0,1,,ne,,
367,,8/11,48,,9:00,4,6,8,9,,0,0,,,,
368,,8/11,69,,9:00,4,8,9,9,,0,1,,e,,
369,,8/12,77,,12:30,0,0,0,0,,0,1,,ne,,